ID_Desc;Desc;ID_FR;475$a;475$e;Langue
3;armoiries;4671;coat.of.arms;;en
3;armoiries;4672;wappen;;de
3;armoiries;4673;arme;araldica;it
3;armoiries;4674;escudo.de.armas;;es
4;oeillet;11063;nelke;;de
4;oeillet;11064;clavel;;es
4;oeillet;11065;garofano;;it
4;oeillet;11066;carnation;flower;en
5;fraisier;10890;erdbeerstaude;;de
5;fraisier;10892;fresa;;es
5;fraisier;10895;fragola;;it
5;fraisier;10896;strawberry.plant;;en
7;lis;11012;lilie;;de
7;lis;11013;azucena;;es
7;lis;11014;giglio;;it
7;lis;11015;lily;;en
9;violette;11316;veilchen;;de
9;violette;11317;violeta;;es
9;violette;11318;violetta;;es
9;violette;11319;violet;;en
10;papillon;3736;butterfly;;en
10;papillon;3737;schmetterling;;de
10;papillon;3738;farfalla;;it
10;papillon;3739;mariposa;;es
13;pensée;11092;stiefmütterchen;;de
13;pensée;11093;pensamiento;planta;es
13;pensée;11094;viola.del.pensiero;;it
13;pensée;11095;pansy;;en
14;ancolie;10701;akelei;;de
14;ancolie;10702;aguilena;;es
14;ancolie;10703;aquilegia;;en
19;bateau;5596;boat;;en
19;bateau;5597;ship;;en
19;bateau;5598;boot;;en
19;bateau;5599;schiff;;de
19;bateau;5600;nave;;it
19;bateau;5601;barco;;es
25;île;5258;insel;;de
25;île;5259;island;;en
25;île;5260;isola;;it
25;île;5261;isla;;es
26;église;456;basilique;;fr
26;église;10116;church;;en
26;église;10117;iglesia;;es
26;église;10118;chiesa;;it
26;église;10119;kirche;;de
30;ange;4148;engel;;de
30;ange;4149;angel;;en
30;ange;4150;angelo;;it
31;tour;10231;turm;;de
31;tour;10232;torre;;it
31;tour;10233;tower;;en
33;cité;9870;city;;en
33;cité;9871;town;;en
33;cité;9872;ciudad;;es
33;cité;9873;città;;it
33;cité;9874;stadt;;de
34;fortifications;8222;fortification;;en
34;fortifications;8223;fortificacion;;es
34;fortifications;8224;fortificazione;;it
34;fortifications;8225;befestigungswerk;;de
38;puits;10205;brunnen;ausschöpfen;de
38;puits;10206;pozzo;;it
38;puits;10207;pozo;;es
38;puits;10208;well;;en
39;vase;8614;vaso;;es
39;vase;8616;florero;;es
41;couronne;9906;krone;;de
41;couronne;9907;corona;;es
41;couronne;9908;crown;;en
44;bouquetin;3020;steinbock;säugetier;de
44;bouquetin;3021;stambecco;;en
44;bouquetin;3022;ibex;;es
44;bouquetin;3023;ibice;;es
45;château;10051;castle;;en
45;château;10052;castillo;;es
45;château;10053;castello;;it
45;château;10054;schloss;;de
47;bannière;165;étendard;;fr
47;bannière;4678;banner;;en
47;bannière;4679;gonfalone;;it
47;bannière;4680;estandarte;;es
47;bannière;4681;bandera;;es
49;mouton;825;brebis;;fr
49;mouton;2888;schaf;;de
49;mouton;2889;pecora;;it
49;mouton;2890;sheep;;en
49;mouton;2891;oveja;;es
56;lion;2850;leone;;en
56;lion;2851;löwe;;de
56;lion;2852;leon;;en
64;colonne;10087;säule;;de
