ID_Mandragore;X;Y;WIDTH;HEIGHT;COORD IIIF;URL IIIF;Image Gallica;ARK Mandragore;ID MSS;ID part;Folio;Lég corrigé;Rubrique;Inscriptions;Notes;Part;NomUs corrigé;AutT corrigé;Dt;Dt corrigé;DtP;DtP corrigé;Art corrigé;Origine corrigé;Loc corrigé;Division;Libelle;CoteN;CoteNb;CoteA;Volume;CoteAd
26402;485;381;3568;4861;485,381,3568,4861;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f12/485,381,3568,4861/full/0/native.jpg;12;ark:/12148/cgfbt26402v;896;1193;Av;Présentation du livre;prologue du translateur;-;0;b;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Pichore;France;Paris;Mss;Français;225;0;0;0;0
26403;2023;414;530;750;2023,414,530,750;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f12/2023,414,530,750/full/0/native.jpg;12;ark:/12148/cgfbt264036;896;1193;Av;Armes de Louis XII;prologue du translateur;-;0;b;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Pichore;France;Paris;Mss;Français;225;0;0;0;0
26404;518;382;3488;4905;518,382,3488,4905;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f13/518,382,3488,4905/full/0/native.jpg;13;ark:/12148/cgfbt26404j;896;1193;1;Allégorie : Roue de la Fortune;prologue du translateur;esperance / prosperite / joye / douleur / crainte / adversite;0;b;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Pichore;France;Paris;Mss;Français;225;0;0;0;0
26405;808;763;634;3368;808,763,634,3368;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f14/808,763,634,3368/full/0/native.jpg;14;ark:/12148/cgfbt26405w;896;1194;1v;Encadrement;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
26406;1416;853;498;433;1416,853,498,433;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f14/1416,853,498,433/full/0/native.jpg;14;ark:/12148/cgfbt264067;896;1194;1v;Lettre ornée;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
26407;802;789;588;3349;802,789,588,3349;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f16/802,789,588,3349/full/0/native.jpg;16;ark:/12148/cgfbt26407k;896;1194;2v;Encadrement;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
26408;1377;944;465;401;1377,944,465,401;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f16/1377,944,465,401/full/0/native.jpg;16;ark:/12148/cgfbt26408x;896;1194;2v;Lettre ornée;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
26409;447;421;3495;4920;447,421,3495,4920;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f27/447,421,3495,4920/full/0/native.jpg;27;ark:/12148/cgfbt264098;896;1193;8;Allégorie: Raison et l'homme;le premier livre du trescolatif euvre compose par maistre françoys petrarche trescler et excellent poethe et orateur des remedes de l'une et l'autre fortune par luy envoye à son amy azon et premierement commence de la fortune prospere de l'aage... ->;de riche et bien fortunee lignye / fortune / rayson / foy - esperance / joye / sensualite / l'ome / esperance / prosperite / abus;... jeune et florissant et esperance de longue vie. dyalogue premier. joye;b;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Pichore;France;Paris;Mss;Français;225;0;0;0;0
26410;782;879;614;3336;782,879,614,3336;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f28/782,879,614,3336/full/0/native.jpg;28;ark:/12148/cgfbt26410g;896;1194;8v;Encadrement;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
122796;1383;1532;608;588;1383,1532,608,588;https://gallica.bnf.fr/iiif/ark:/12148/btv1b60007782/f28/1383,1532,608,588/full/0/native.jpg;28;ark:/12148/cgfbt1227960;896;1194;8v;Lettre ornée;-;-;0;a;0;Pétrarque, De remediis utriusque fortunae (traduction anonyme);16;XVIe siècle;vers 1503;Vers 1503;Jean Serpin;France;Rouen;Mss;Français;225;0;0;0;0
